,Balance/P&L,Credit/Debit,Is acc. Account,What is the parent/acc. Account,Accounting types,,,,"Tax types (Gewerbe, Umsatz, Koest)",,,Allowed tax id,Overwrites tax id definitions if defined,Tax1,Tax2,,,,Tax report pos.,,,
2143,,,,,,,,,,,,,,,,,,,,,Zinsaufwand Abzinsung Verbindlichkeit,Interest expenses from the discounting of liabilities
2144,,,,,,,,,,,,,,,,,,,,,Zinsaufwand Abzinsung Rückstellungen,Interest expenses from the discounting of provisions
2145,,,,,,,,,,,,,,,,,,,,,Aufw. Abzinsung Pensions-/ähnl. Rückst.,Interest expenses from the discounting of provisions for pensions and similar/comparable obligations
2146,,,,,,,,,,,,,,,,,,,,,"Aufw. Abzins. Pensions-/ähnl. RS,Verr",Interest expenses from the discounting of provisions for pensions and similar/comparable obligations for offsetting under s. 246(2) HGB
2147,,,,,,,,,,,,,,,,,,,,,Aufwendungen VG zur Verrg § 246 (2) HGB,Expenses from assets for offsetting in accordance with section 246(2) HGB
2148,,,,,,,,,,,,,,,,,,,,,Aufw. Abzinsung Rückstellung n. abz.,"Interest expenses from the discounting of provisions, non-tax-deductible"
2149,,,,,,,,,,,,,,,,,,,,,Zinsähnliche Aufwendungen an verb.UN,Expenses similar to interest expenses to affiliated companies
2150,,,,,,,,,,,,,,,,,,,,,Aufwendungen aus Währungsumrechnungen,Currency translation losses
2151,,,,,,,,,,,,,,,,,,,,,Aufw.Währungsumrechnung nicht §256a HGB,Currency translation losses (not s. 256a HGB)
2166,,,,,,,,,,,,,,,,,,,,,Aufwendg. Bewertung Finanzmittelfonds,Expenses from remeasurement of cash funds
2170,,,,,,,,,,,,,,,,,,,,,Nicht abziehbare Vorsteuer,Non-deductible input tax
2171,,,,,,,,,,,,,,,,,,,,,Nicht abziehbare Vorsteuer 7%,Non-deductible input 7 %
2176,,,,,,,,,,,,,,,,,,,,,Nicht abziehbare Vorsteuer 19%,Non-deductible input 19 %
2200,,,,,,,,,,,,,,,,,,,,,Körperschaftsteuer,Corporate income tax
2203,,,,,,,,,,,,,,,,,,,,,Körperschaftsteuer für Vorjahre,Corporate income tax for prior years
2204,,,,,,,,,,,,,,,,,,,,,Körperschaftsteuererstattung Vorjahre,Corporate income tax refunds for prior years
2208,,,,,,,,,,,,,,,,,,,,,Solidaritätszuschlag,Solidarity surcharge
2209,,,,,,,,,,,,,,,,,,,,,Solidaritätszuschlag für Vorjahre,Solidarity surcharge for prior years
2210,,,,,,,,,,,,,,,,,,,,,Solidaritätszuschl.-Erstattung Vorjahre,Solidarity surcharge refunds for prior years
2213,,,,,,,,,,,,,,,,,,,,,Kapitalertragsteuer 25 % (KapG),"Withholding tax on investment income, 25 %"
2216,,,,,,,,,,,,,,,,,,,,,SolZ auf Kapitalertragsteuer 25 % (KapG),"Allowable solidarity surcharge on withholding tax on investment income, 25 %"
2218,,,,,,,,,,,,,,,,,,,,,Ausländ. Steuer auf stfr. DBA-Einkünfte,Foreign tax on DTA income exempt from domestic taxation
2219,,,,,,,,,,,,,,,,,,,,,Anrechn./Abzug ausländ. Quellensteuer,Credit/ deduction of foreign withholding tax
2250,,,,,,,,,,,,,,,,,,,,,Aufw. Zuführg/Auflösung latente Steuern,Expenses from additions to and reversals of deferred taxes
2255,,,,,,,,,,,,,,,,,,,,,Erträge Zuführg/Auflösg latente Steuern,Income from additions to and reversals of deferred taxes
2260,,,,,,,,,,,,,,,,,,,,,Aufw. Zuführung zu Steuerrückst. BStBK,Expenses from additions to provisions for taxes for tax deferral (BStBK)
2265,,,,,,,,,,,,,,,,,,,,,Erträge Auflösung Steuerrückst. BStBK,Income from reversal of provisions for taxes for tax deferral (BStBK)
2281,,,,,,,,,,,,,,,,,,,,,GewSt-NZ/Erstattung VJ § 4 (5b) EStG,"Back payments and refunds of trade tax for prior years, section 4(5b) EStG"
2283,,,,,,,,,,,,,,,,,,,,,Ertr. Auflösung GewSt-RSt § 4 (5b) EStG,"Income from reversal of provisions for trade tax, section 4(5b) EStG"
2285,,,,,,,,,,,,,,,,,,,,,Steuernachzahlg. VJ sonstige Steuern,Back payments of other taxes for prior years
2287,,,,,,,,,,,,,,,,,,,,,Erstattung VJ für sonstige Steuern,Refunds of other taxes for prior years
2289,,,,,,,,,,,,,,,,,,,,,Auflösung Rückstellung s. Steuern,Income from reversal of provisions for other taxes
2300,,,,,,,,,,,,,,,,,,,,,Sonstige Aufwendungen,Other expenses
2307,,,,,,,,,,,,,,,,,,,,,"Sonst.Aufwendungen, betriebsfr.u.regelm.",Other regular non-operating expenses
2308,,,,,,,,,,,,,,,,,,,,,Sonst. nicht abziehbare Aufwendungen,Other non-deductible expenses
2309,,,,,,,,,,,,,,,,,,,,,Sonstige Aufwendungen unregelmäßig,Other infrequent expenses
2310,,,,,,,,,,,,,,,,,,,,,Abgänge Sachanlagen Restbuchwert bei BV,Disposals of tangible fixed assets (net carrying amount for book loss)
2311,,,,,,,,,,,,,,,,,,,,,"Abgang immaterielle VermögensG, RBW, BV",Disposals of intangible fixed assets (net carrying amount for book loss)
2312,,,,,,,,,,,,,,,,,,,,,"Abgänge Finanzanlagen Restbuchwert, BV",Disposals of long-term financial assets (net carrying amount for book loss)
2313,,,,,,,,,,,,,,,,,,,,,"Abgänge Finanzanlagen RBW z.T.stf., BV","Disposals of long-term financial assets, section 3 no. 40 EStG/section 8b(3) KStG (net carrying amount for book loss)"
2315,,,,,,,,,,,,,,,,,,,,,Abgänge Sachanlagen Restbuchwert bei BG,Disposals of tangible fixed assets (net carrying amount for book gain)
2316,,,,,,,,,,,,,,,,,,,,,"Abgang immaterielle VermögensG, RBW, BG",Disposals of intangible fixed assets (net carrying amount for book gain)
2317,,,,,,,,,,,,,,,,,,,,,"Abgänge Finanzanlagen Restbuchwert, BG",Disposals of long-term financial assets (net carrying amount for book gain)
2318,,,,,,,,,,,,,,,,,,,,,"Abgänge Finanzanlagen RBW z.T. stf.,BG","Disposals of long-term financial assets, section 3 no. 40 EStG/section 8b(2) KStG (net carrying amount for book gain)"
2320,,,,,,,,,,,,,,,,,,,,,Verluste aus Anlagenabgang,Losses on disposal of fixed assets
2323,,,,,,,,,,,,,,,,,,,,,Verlust Veräuß.Ant. KapGes z.T. n. abz.,"Losses on disposal of shares in corporations (long-term financial assets), section 3 no. 40 EStG/section 8b(3) KStG"
2325,,,,,,,,,,,,,,,,,,,,,Verluste aus Abgang von Umlaufvermögen,Losses on disposal of current assets (excluding inventories)
2326,,,,,,,,,,,,,,,,,,,,,Verluste aus Abgang UV z.T. n. abziehbar,"Losses on disposal of current assets (excluding inventories), section 3 no. 40 EStG/section 8b(3) KStG"
2327,,,,,,,,,,,,,,,,,,,,,Abgang WG UV § 4 (3) EStG,Disposal of current assets under section 4(3) sentence 4 EStG
2328,,,,,,,,,,,,,,,,,,,,,Abgang WG UV § 4 (3) EStG z.T.nicht abz.,"Disposal of current assets, section 3 no. 40 EStG/section 8b(3) KStG under section 4(3) sentence 4 EStG"
2339,,,,,,,,,,,,,,,,,,,,,Einstellungen stl. Rücklage § 4g EStG,Transfers to tax reserve under s. 4g EStG
2342,,,,,,,,,,,,,,,,,,,,,Einstellg stl. Rücklage § 6b (3) EStG,Transfers to tax reserve under s. 6b(3) EStG
2343,,,,,,,,,,,,,,,,,,,,,Einstellg stl. Rücklage § 6b (10) EStG,Transfers to tax reserve under s. 6b(10) EStG
2344,,,,,,,,,,,,,,,,,,,,,Einstellungen stl. Rücklage R 6.6 EStR,Transfers to replacement reserve under
2345,,,,,,,,,,,,,,,,,,,,,Einstellungen in sonstige stl. Rücklagen,Allocation to other tax reserves
2347,,,,,,,,,,,,,,,,,,,,,Aufwendungen aus Erwerb eigener Anteile,Expenses from the purchase of treasury shares
2350,,,,,,,,,,,,,,,,,,,,,Sonst. Grundstücksaufwendungen neutral,"Real estate expenses, non-operating"
2375,,,,,,,,,,,,,,,,,,,,,Grundsteuer,Land tax
2380,,,,,,,,,,,,,,,,,,,,,"Zuwendungen,Spenden steuerl. n. abziehb.","Non-cash benefits, donations, non-tax deductible"
2381,,,,,,,,,,,,,,,,,,,,,Zuwendg.Spenden wissensch./kult. Zweck,"Non-cash benefits, donations for scientific and cultural purposes"
2382,,,,,,,,,,,,,,,,,,,,,"Zuwendungen,Spenden mildtätige Zwecke","Non-cash benefits, donations for charitable purposes"
2383,,,,,,,,,,,,,,,,,,,,,"Zuwendungen,Spenden kirchl./rel./gemein.","Non-cash benefits, donations for church, religious and non-profit purposes"
2384,,,,,,,,,,,,,,,,,,,,,"Zuwendungen,Spenden an politische Partei","Non-cash benefits, donations to political parties"
2385,,,,,,,,,,,,,,,,,,,,,Nicht abziehbare AR-Vergütungen,Non-deductible half of supervisory board remuneration
2386,,,,,,,,,,,,,,,,,,,,,Abziehbare Aufsichtsratsvergütung,Deductible supervisory board remuneration
2387,,,,,,,,,,,,,,,,,,,,,Zuwendg. an Stiftg. gemeinnützige Zwecke,"Non-cash benefits, donations to permanent assets (capital reserves) of a non-profit foundation"
2389,,,,,,,,,,,,,,,,,,,,,Zuwendg. an Stiftg. kirchl./rel./gemein.,"Non-cash benefits, donations to permanent assets (capital reserves) of a church, religious or non-profit foundation"
2390,,,,,,,,,,,,,,,,,,,,,Zuwendg. an Stiftg. wiss./mildt./kultur.,"Non-cash benefits, donations to permanent assets (capital reserves) of a scientific, charitable or cultural foundation"
2400,,,,,,,,,,,,,,,,,,,,,Forderungsverluste (übliche Höhe),Bad debt allowances (normal amount)
2401,,,,,,,,,,,,,,,,,,,,,Forderungsverluste 7% USt,"Bad debt allowances, 7 % VAT (normal amount)"
2402,,,,,,,,,,,,,,,,,,,,,Ford.verluste a.stfrei.EU-Lieferungen,Bad debt allowances on tax-exempt intra-European Union supplies of goods and services (normal amount)
2403,,,,,,,,,,,,,,,,,,,,,Forderungsverluste EU-Lieferungen 7%,"Bad debt allowances on intra-European Union supplies of goods and services subject to domestic taxation, 7 % VAT (normal amount)"
2406,,,,,,,,,,,,,,,,,,,,,Forderungsverluste 19% USt,"Bad debt allowances, 19 % VAT (normal amount)"
2408,,,,,,,,,,,,,,,,,,,,,Forderungsverluste EU-Lieferung 19% USt,"Bad debt allowances on intra-European Union supplies of goods and services subject to domestic taxation, 19 % VAT (normal amount)"
2430,,,,,,,,,,,,,,,,,,,,,Forderungsverluste,Bad debt allowances (if unusually high)
2431,,,,,,,,,,,,,,,,,,,,,Forderungsverluste 7% USt (unübl. hoch),"Bad debt allowances, 7 % VAT (if unusually high)"
2436,,,,,,,,,,,,,,,,,,,,,Forderungsverluste 19% USt (unübl.hoch),"Bad debt allowances, 19 % VAT (if unusually high)"
2440,,,,,,,,,,,,,,,,,,,,,"Abschr. Forderungen ggb.KapG, unübl.hoch","Allowances on receivables from corporations classified as long-term investees (if unusually high), s. 3c EStG/ s."
2441,,,,,,,,,,,,,,,,,,,,,"Abschr. Ford. ggb. Ges.ern, unübl. hoch","Allowances on receivables from shareholders and related parties (if unusually high), s. 8b(3) KStG"
2450,,,,,,,,,,,,,,,,,,,,,Einstellung in die PWB auf Forderungen,Transfers to global valuation allowance on receivables
2451,,,,,,,,,,,,,,,,,,,,,Einstellung in die EWB auf Forderungen,Transfer to specific valuation allowance on receivables
2480,,,,,,,,,,,,,,,,,,,,,Einstellung Rücklage Anteil herrsch.UN,Transfers to reserve for shares in a parent or majority investor
2481,,,,,,,,,,,,,,,,,,,,,Einstellung gesamth.geb. Rücklagen (KKE),Appropriation to collectively held reserves (with breakdown for statement of changes in capital account)
2485,,,,,,,,,,,,,,,,,,,,,Einstellung in andere Ergebnisrücklagen,Transfers to other revenue reserves (co-operatives)
2488,,,,,,,,,,,,,,,,,,,,,Änd.Ausgl.posten mit Erg.Körperschaften,Change tax adjustment item (corporations)
2489,,,,,,,,,,,,,,,,,,,,,Änd.Ausgl.posten mit Erg.Pers.gesellsch.,"Change tax adjustment item (partnerships, sole proprietorships)"
2490,,,,,,,,,,,,,,,,,,,,,Aufwendungen aus Verlustübernahme,Cost of loss absorption
2491,,,,,,,,,,,,,,,,,,,,,Abgef.Gewinn-/Verlustant.atyp.still.Bet.,Transferred profit shares (debit) / adjusted shares of losses (credit) in atypical silent partnerships
2492,,,,,,,,,,,,,,,,,,,,,Abgef. Gewinne / Gewinngemeinschaft,Profit transferred on the basis of a profit pooling agreement
2493,,,,,,,,,,,,,,,,,,,,,Abgef.Gewinn-Verlustant.typ.stille Bet.,Transferred profit shares (debit) / adjusted shares of losses (credit) in typical silent partnerships pursuant to section 8 of the GewStG
2494,,,,,,,,,,,,,,,,,,,,,Abgef. Gewinne / Gewinn-/Teilgewinnabf.,Profit transferred on the basis of a profit and loss transfer or partial profit transfer agreement
2495,,,,,,,,,,,,,,,,,,,,,Einstellungen Kapitalrücklage,Appropriation to capital reserves under the rules governing simplified capital decreases
2496,,,,,,,,,,,,,,,,,,,,,Einstellungen gesetzliche Rücklage,Appropriation to legal reserve
2497,,,,,,,,,,,,,,,,,,,,,Einstellungen i.satzungsmäß.Rücklagen,Appropriation to reserves provided for by the articles of association
2498,,,,,,,,,,,,,,,,,,,,,Einst.Ausgleichsposten akt.eig. Anteile,Transfers to special reserves for capitalised own shares
2499,,,,,,,,,,,,,,,,,,,,,Einstellungen andere Gewinnrücklagen,Appropriation to other revenue reserves
2504,,,,,,,,,,,,,,,,,,,,,Erträge Verschmelzung und Umwandlung,Gains from mergers and reorganisations
2508,,,,,,,,,,,,,,,,,,,,,Gewinn Veräuß/Aufg. Geschäftsaktivität,"Gain on disposal or discontinuation of business activities, net of tax"
2510,,,,,,,,,,,,,,,,,,,,,Betriebsfremde Erträge,Non-operating income
2520,,,,,,,,,,,,,,,,,,,,,Periodenfremde Erträge,Prior period income
2590,,,,,,,,,,,,,,,,,,,,,Erträge Übergangsvorschrift BilMoG,Income from the application of transitional provisions
2594,,,,,,,,,,,,,,,,,,,,,Erträge Übergangsvorschr. latente St.,Income from the application of transitional provisions (deferred taxes)
2600,,,,,,,,,,,,,,,,,,,,,Erträge aus Beteiligungen,Income from long-term equity investments
2603,,,,,,,,,,,,,,,,,,,,,"Ertr. Beteiligungen an PersG, verb. UN","Income from investments in partnerships (affiliated companies), s. 9 GewStG or s. 18 EStG"
2613,,,,,,,,,,,,,,,,,,,,,Erträge a.typisch stillen Beteiligungen,Income from typical silent partnerships
2614,,,,,,,,,,,,,,,,,,,,,Erträge a.atypisch stillen Beteiligungen,Income from atypical silent partnerships
2615,,,,,,,,,,,,,,,,,,,,,Erträge aus Beteiligungen z.T. stfrei,"Income from shares in corporations (long-term equity investments), s. 3 no. 40 EStG/ s. 8b(1) KStG"
2616,,,,,,,,,,,,,,,,,,,,,Ertr Ant Kap verb UN z.T.stfr (Beteilig),"Income from shares in corporations (affiliated companies), s. 3 no. 40 EStG/ s. 8b(1) KStG"
2618,,,,,,,,,,,,,,,,,,,,,Gewinnanteile Mitunternehmerschaften,"Profit shares from industrial or self-employed partnerships, s. 9 GewStG or s. 18 EStG"
2619,,,,,,,,,,,,,,,,,,,,,Erträge a.Beteilig. an verbundenen UN,Income from long-term equity investments in affiliated companies
2620,,,,,,,,,,,,,,,,,,,,,Erträge Wertpapiere/Ausleihungen FAV,Income from other securities and long-term loans
2621,,,,,,,,,,,,,,,,,,,,,Ertr. Ausleihungen Finanzanlagevermögen,Income from long-term loans
2622,,,,,,,,,,,,,,,,,,,,,Ertr. Ausleihungen FAV an verbund. UN,Income from long-term loans to affiliated companies
2623,,,,,,,,,,,,,,,,,,,,,"Erträge Anteile an PersG, FAV",Income from shares in partnerships (long-term financial assets)
2625,,,,,,,,,,,,,,,,,,,,,Erträge a.Beteilig. FAV z.T. steuerfrei,"Income from shares in corporations (long-term equity investments), s. 3 no. 40 EStG/ s. 8b(1,4) KStG"
2626,,,,,,,,,,,,,,,,,,,,,Ertr Ant KapG verb UN z.T.stfr (Wertpap),"Income from shares in corporations (affiliated companies), s. 3 no. 40 EStG/ s. 8b(1) KStG"
2640,,,,,,,,,,,,,,,,,,,,,Zins- und Dividendenerträge,Interest and dividend income
2641,,,,,,,,,,,,,,,,,,,,,Erhaltene Ausgleichszahlungen,Compensation payments received as an outside shareholder
2646,,,,,,,,,,,,,,,,,,,,,"Erträge Anteile PersG, verbundene UN",Income from shares in partnerships (affiliated companies)
2647,,,,,,,,,,,,,,,,,,,,,"Erträge andere WP FAV an KapG, verb.UN",Income from other long-term securities of corporations (affiliated companies)
2648,,,,,,,,,,,,,,,,,,,,,"Erträge andere WP FAV an PersG,verb.UN",Income from other long-term securities of partnerships (affiliated companies)
2649,,,,,,,,,,,,,,,,,,,,,Erträge Wertpapiere/FAV-Ausl.verb.UN,"Income from other securities and long-term loans, from affiliated companies"
2650,,,,,,,,,,,,,,,,,,,,,Sonstige Zinsen und ähnliche Erträge,Other interest and similar income
2653,,,,,,,,,,,,,,,,,,,,,"Zinsertr.§ 233a AO, §4 (5b) EStG, stfrei","Interest income s. 233a AO, s. 4(5b) EStG, taxexempt"
2654,,,,,,,,,,,,,,,,,,,,,Erträge Wertpapiere/Ausleihungen UV,Income from other securities and short-term loans
2655,,,,,,,,,,,,,,,,,,,,,Erträge aus Anteilen KapG UV z.T. stfr,"Income from shares in corporations (current assets), s. 3 no. 40 EStG/ s. 8b(1,4) KStG"
2656,,,,,,,,,,,,,,,,,,,,,Ertr Ant KapG verb UN z.T.stfr (Zinsen),"Income from shares in corporations (affiliated companies), s. 3 no. 40 EStG/ s. 8b(1) KStG"
2657,,,,,,,,,,,,,,,,,,,,,"Zinserträge § 233a AO, steuerpflichtig","Interest income s. 233a AO, taxable"
2658,,,,,,,,,,,,,,,,,,,,,"Zinserträge § 233a AO,Anlage GK KSt,stf","Interest income s. 233a AO, tax-exempt (Schedule GK KSt)"
2659,,,,,,,,,,,,,,,,,,,,,Sonst. Zinsen u.ä. Erträge aus verb.UN,Other interest and similar income from affiliated companies
2660,,,,,,,,,,,,,,,,,,,,,Erträge aus der Währungsumrechnung,Currency translation gains
2661,,,,,,,,,,,,,,,,,,,,,Ertr.Währungsumrechnung nicht § 256a HGB,Currency translation gains (not s. 256a HGB)
2666,,,,,,,,,,,,,,,,,,,,,Erträge Bewertung Finanzmittelfonds,Income from remeasurement of cash funds
2670,,,,,,,,,,,,,,,,,,,,,Diskonterträge,Discounts received
2679,,,,,,,,,,,,,,,,,,,,,Diskonterträge verbundene Unternehmen,Discounts received from affiliated companies
2680,,,,,,,,,,,,,,,,,,,,,Zinsähnliche Erträge,Income similar to interest income
2682,,,,,,,,,,,,,,,,,,,,,Ertrag Abzinsung Rückstellung stfrei,Tax-exempt interest income from discounting of provisions
2683,,,,,,,,,,,,,,,,,,,,,Zinsertrag Abzinsung Verbindlichkeit,Interest income from the discounting of liabilities
2684,,,,,,,,,,,,,,,,,,,,,Zinsertrag Abzinsung Rückstellungen,Interest income from the discounting of provisions
2685,,,,,,,,,,,,,,,,,,,,,Ertr. Abzinsung Pensions-/ähnl. Rückst.,Interest income from the discounting of provisions for pensions and similar/comparable obligations
2686,,,,,,,,,,,,,,,,,,,,,"Ertr. Abzins. Pensions-/ähnl. RS,Verr",Interest income from the discounting of provisions for pensions and similar/comparable obligations for offsetting under s. 246(2) HGB
2687,,,,,,,,,,,,,,,,,,,,,Erträge VG zur Verrechnung § 246 (2) HGB,Income from assets for offsetting in accordance with section 246(2) HGB
2689,,,,,,,,,,,,,,,,,,,,,Zinsähnliche Erträge verbundene UN,Income similar to interest income from affiliated companies
2700,,,,,,,,,,,,,,,,,,,,,Sonstige Erträge betriebs/periodenfremd,Other income
2705,,,,,,,,,,,,,,,,,,,,,Sonstige betriebl. regelm. Erträge,Other regular operating income
2707,,,,,,,,,,,,,,,,,,,,,Sonstige betriebsfr.regelm. Erträge,Other regular non-operating income
2709,,,,,,,,,,,,,,,,,,,,,Sonstige Erträge unregelmäßig,Other infrequent income
2710,,,,,,,,,,,,,,,,,,,,,Erträge Zuschreibg. Sachanlagevermögen,Income from reversal of writedowns of tangible fixed assets
2711,,,,,,,,,,,,,,,,,,,,,Erträge Zuschreibg. immat. Anlagevermög.,Income from reversal of writedowns of intangible fixed assets
2712,,,,,,,,,,,,,,,,,,,,,Erträge Zuschreibg. Finanzanlagevermögen,Income from reversal of writedowns of long-term financial assets
2713,,,,,,,,,,,,,,,,,,,,,Erträge Zuschreibg. FAV z.T. steuerfrei,"Income from reversal of writedowns of long-term financial assets, section 3 no. 40 EStG/section 8b(3) sentence 8 KStG"
2714,,,,,,,,,,,,,,,,,,,,,Erträge Zuschreibg. z.T. steuerfrei,"Income from reversal of writedowns, section 3 no. 40 EStG/section 8b(2) KStG"
2715,,,,,,,,,,,,,,,,,,,,,Erträge a.Zuschreibung Umlaufvermögen,Income from reversal of write-downs of current assets excluding inventories
2716,,,,,,,,,,,,,,,,,,,,,Erträge Zuschreibg. UV z.T. steuerfrei,"Income from reversal of writedowns of current assets, section 3 no. 40 EStG/section 8b(3) sentence 8 KStG"
2720,,,,,,,,,,,,,,,,,,,,,Erträge aus Abgang von AV-Gegenständen,Income from disposal of fixed assets
2723,,,,,,,,,,,,,,,,,,,,,Erträge Veräuß.Ant. KapGes z.T. stfrei,"Income from disposal of shares in corporations (long-term financial assets), section 3 no. 40 EStG/section 8b(2) KStG"
2725,,,,,,,,,,,,,,,,,,,,,Erträge aus Abgang von UV-Gegenständen,Income from disposal of current assets (excluding inventories)
2726,,,,,,,,,,,,,,,,,,,,,Erträge aus Abgang UV z.T. steuerfrei,"Income from disposal of current assets (excluding inventories), section 3 no. 40 EStG/section 8b(2) KStG"
2727,,,,,,,,,,,,,,,,,,,,,Ertr.Auflösg stl. Rücklage § 6b (3) EStG,Income from reversal of tax reserve under s. 6b(3) EStG
2728,,,,,,,,,,,,,,,,,,,,,Ertr.Auflösg stl.Rücklage § 6b(10) EStG,Income from reversal of tax reserve under s. 6b(10) EStG
2729,,,,,,,,,,,,,,,,,,,,,Erträge Auflösung stl. Rücklage R 6.6,Income from reversal of replacement reserve under R.6.6 EStR
2730,,,,,,,,,,,,,,,,,,,,,Erträge aus Herabsetzung PWB auf Ford,Income from reduction in global valuation allowances on receivables
2731,,,,,,,,,,,,,,,,,,,,,Erträge aus Herabsetzung EWB auf Ford,Income from reduction in specific valuation allowances on receivables
2732,,,,,,,,,,,,,,,,,,,,,Erträge aus abgeschriebenen Forderg.,Income from recoveries of receivables previously written off
